#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
9.273000000000000682e+02	5.697040547791770223e+04	nan	5.373074750986695290e+04	nan	1.842032306928071198e-02	nan	7.045763473200016280e-01	nan	7.776141069042313347e+01	nan	3.869694152918327745e+01	nan	1.792000000000002619e-02	8.256508997727349253e-02	7.067449999999999566e-01	2.483971030102918864e-02	7.919017857141666639e+01	8.601621661418439035e-02	1.297852394460816475e-02	nan	2.236207683257944098e-02	nan
9.278500000000000227e+02	5.701278317836709903e+04	nan	5.377546607547634630e+04	nan	1.755687042541325890e-02	nan	7.044259668275633102e-01	nan	7.773758652466510455e+01	nan	3.867499166145546496e+01	nan	1.708000000000496968e-02	8.256508997727349253e-02	7.065879999999999939e-01	2.483971030102918864e-02	7.916591666664999138e+01	8.601621661418439035e-02	1.236751542388798801e-02	nan	2.288429148069672653e-02	nan
9.284000000000000909e+02	5.705725451971167786e+04	nan	5.381916417296140571e+04	nan	1.724849448116511086e-02	nan	7.042217484223317614e-01	nan	7.771376235890708983e+01	nan	3.865308075477355487e+01	nan	1.677999999999722769e-02	8.256508997727349253e-02	7.063770000000000326e-01	2.483971030102918864e-02	7.914165476188333059e+01	8.601621661418439035e-02	1.214676494117903488e-02	nan	2.314452119887527512e-02	nan
9.289500000000000455e+02	5.710253406555482070e+04	nan	5.386237094277994038e+04	nan	1.858479023954802759e-02	nan	7.040972830089586854e-01	nan	7.768993819314907512e+01	nan	3.863116243957063034e+01	nan	1.808000000000574772e-02	8.256508997727349253e-02	7.062460000000000404e-01	2.483971030102918864e-02	7.911739285711666980e+01	8.601621661418439035e-02	1.308550031295718091e-02	nan	2.288671172190644490e-02	nan
9.295000000000001137e+02	5.714456532051994145e+04	nan	5.390606441924571118e+04	nan	1.856423184326133277e-02	nan	7.038920611078325340e-01	nan	7.766611402739104619e+01	nan	3.860930900658672726e+01	nan	1.806000000000184194e-02	8.256508997727349253e-02	7.060340000000000504e-01	2.483971030102918864e-02	7.909313095234999480e+01	8.601621661418439035e-02	1.306721541503687647e-02	nan	2.174064473489724716e-02	nan
9.300500000000000682e+02	5.718665538963803556e+04	nan	5.395206121520985471e+04	nan	1.719709849045537517e-02	nan	7.037835421447055095e-01	nan	7.764228986163303148e+01	nan	3.858744719295998493e+01	nan	1.672999999999427029e-02	8.256508997727349253e-02	7.059189999999999632e-01	2.483971030102918864e-02	7.906886904758333401e+01	8.601621661418439035e-02	1.210303489022405282e-02	nan	1.991928973912066719e-02	nan
9.306000000000000227e+02	5.723209853716165526e+04	nan	5.400226380842963408e+04	nan	1.650839221499460566e-02	nan	7.035793108102985638e-01	nan	7.756237915192370735e+01	nan	3.853754089018400464e+01	nan	1.606000000000301631e-02	8.256508997727349253e-02	7.057080000000000020e-01	2.483971030102918864e-02	7.898749007933334099e+01	8.601621661418439035e-02	1.161496321721200257e-02	nan	1.876853949182360343e-02	nan
9.311500000000000909e+02	5.727945124846297404e+04	nan	5.405554445929943904e+04	nan	1.694011853692661135e-02	nan	7.034677961472362018e-01	nan	7.742638189826303119e+01	nan	3.845954546218979431e+01	nan	1.647999999999887055e-02	8.256508997727349253e-02	7.055900000000000505e-01	2.483971030102918864e-02	7.884899404759998731e+01	8.601621661418439035e-02	1.191682785364470663e-02	nan	1.833282237176686244e-02	nan
9.317000000000000455e+02	5.732560447034003300e+04	nan	5.411009143410349498e+04	nan	1.754659122727131662e-02	nan	7.032635583957748127e-01	nan	7.729038464460238345e+01	nan	3.838166619947105573e+01	nan	1.707000000000438375e-02	8.256508997727349253e-02	7.053789999999999782e-01	2.483971030102918864e-02	7.871049801586666206e+01	8.601621661418439035e-02	1.233987818420691218e-02	nan	1.841019425949595376e-02	nan
9.322500000000001137e+02	5.737017541275857366e+04	nan	5.416440916621999349e+04	nan	1.793720075663574401e-02	nan	7.030593170317771534e-01	nan	7.715438739094170728e+01	nan	3.830379788448374256e+01	nan	1.744999999999807816e-02	8.256508997727349253e-02	7.051680000000000170e-01	2.483971030102918864e-02	7.857200198413330838e+01	8.601621661418439035e-02	1.261091611342220198e-02	nan	1.828025654476739953e-02	nan
