#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
9.280000000000000000e+02	2.758712658318859030e+04	nan	2.634430870953354679e+04	nan	4.186808394344414957e-02	nan	2.842637714410247707e-01	nan	6.979777116369517387e+01	nan	1.409417289370594517e+01	nan	4.137000000000057298e-02	5.976956436294552505e-02	2.936300000000000021e-01	5.202382972419355295e-02	7.233042261902500059e+01	7.065697542753038296e-02	1.190157944477284596e-02	nan	1.091625768762423745e-02	nan
9.290000000000000000e+02	2.767114904463081621e+04	nan	2.643591519488921040e+04	nan	4.134729682395368172e-02	nan	2.837007174521030128e-01	nan	6.970805630552487742e+01	nan	1.404812998043155403e+01	nan	4.077999999999804004e-02	5.976956436294552505e-02	2.930200000000000027e-01	5.202382972419355295e-02	7.231452976187499360e+01	7.065697542753038296e-02	1.173025777366071970e-02	nan	1.073221798138432152e-02	nan
9.300000000000000000e+02	2.775639866312133381e+04	nan	2.652909257925976272e+04	nan	4.282685076519695405e-02	nan	2.831375516731259312e-01	nan	6.959567912818614843e+01	nan	1.399749728640244939e+01	nan	4.215999999999553438e-02	5.976956436294552505e-02	2.924100000000000033e-01	5.202382972419355295e-02	7.227748015870000131e+01	7.065697542753038296e-02	1.212588967152820538e-02	nan	1.067981610291265059e-02	nan
9.310000000000000000e+02	2.783886683882542275e+04	nan	2.662272715033887289e+04	nan	4.328142052491332908e-02	nan	2.825742740877155157e-01	nan	6.946167521342931650e+01	nan	1.394264042516613245e+01	nan	4.252999999999929059e-02	5.976956436294552505e-02	2.918000000000000038e-01	5.202382972419355295e-02	7.221927380949999531e+01	7.065697542753038296e-02	1.223021598631253426e-02	nan	1.098946463555441205e-02	nan
9.320000000000000000e+02	2.792063154364495858e+04	nan	2.671372339384692168e+04	nan	4.317624645780441389e-02	nan	2.820108846794913693e-01	nan	6.932764214351944076e+01	nan	1.388787603215860145e+01	nan	4.234999999999899956e-02	5.976956436294552505e-02	2.911900000000000044e-01	5.202382972419355295e-02	7.216106746030000352e+01	7.065697542753038296e-02	1.217617146070517839e-02	nan	1.085713901542409085e-02	nan
9.330000000000000000e+02	2.800275916505922578e+04	nan	2.680582868959558618e+04	nan	4.142664396392024828e-02	nan	2.814570691428368576e-01	nan	6.919589096610216927e+01	nan	1.383366659121168141e+01	nan	4.055999999999926331e-02	5.976956436294552505e-02	2.905900000000000150e-01	5.202382972419355295e-02	7.210286111109999752e+01	7.065697542753038296e-02	1.165982179450878592e-02	nan	1.061204057217749082e-02	nan
9.340000000000000000e+02	2.808852376915214336e+04	nan	2.690006127315937192e+04	nan	4.007295861429799322e-02	nan	2.809031436277100169e-01	nan	6.906327337874250816e+01	nan	1.377938435844771448e+01	nan	3.915999999999542069e-02	5.976956436294552505e-02	2.899900000000000255e-01	5.202382972419355295e-02	7.204465476190000572e+01	7.065697542753038296e-02	1.125662004921942905e-02	nan	1.053840210464173678e-02	nan
9.350000000000000000e+02	2.817736038224093136e+04	nan	2.699495231926583438e+04	nan	3.986016518329572184e-02	nan	2.803394205300319131e-01	nan	6.892892127410722480e+01	nan	1.372488496885284803e+01	nan	3.885999999999967258e-02	5.976956436294552505e-02	2.893800000000000261e-01	5.202382972419355295e-02	7.198644841269999972e+01	7.065697542753038296e-02	1.117437560971647550e-02	nan	1.070250993626302785e-02	nan
9.360000000000000000e+02	2.826685084103045665e+04	nan	2.708838834557698283e+04	nan	4.036616263450518854e-02	nan	2.797852740708806629e-01	nan	6.886239314656336319e+01	nan	1.368412853292716136e+01	nan	3.924999999999556621e-02	5.976956436294552505e-02	2.887799999999999812e-01	5.202382972419355295e-02	7.199856051587499906e+01	7.065697542753038296e-02	1.129385787588477706e-02	nan	1.072084726410944128e-02	nan
9.370000000000000000e+02	2.835539454425300573e+04	nan	2.718166455550376122e+04	nan	4.218322666228593171e-02	nan	2.792310175848183307e-01	nan	6.886433297754444993e+01	nan	1.365717508849286332e+01	nan	4.090999999999667125e-02	5.976956436294552505e-02	2.881799999999999917e-01	5.202382972419355295e-02	7.208099107142500372e+01	7.065697542753038296e-02	1.177886530592114032e-02	nan	1.062457239666825953e-02	nan
9.380000000000000000e+02	2.844029236539519115e+04	nan	2.727578599048156684e+04	nan	4.289900652334313613e-02	nan	2.786669606512788278e-01	nan	6.886517796384690371e+01	nan	1.362999361009633503e+01	nan	4.149999999999920419e-02	5.976956436294552505e-02	2.875699999999999923e-01	5.202382972419355295e-02	7.216342162697500839e+01	7.065697542753038296e-02	1.195453576281941578e-02	nan	1.079573500590069908e-02	nan
9.390000000000000000e+02	2.852394262332575454e+04	nan	2.736841516296990812e+04	nan	4.406238612365995233e-02	nan	2.781027917805681260e-01	nan	6.886490901139204368e+01	nan	1.360255930399523550e+01	nan	4.251999999999611646e-02	5.976956436294552505e-02	2.869599999999999929e-01	5.202382972419355295e-02	7.224585218252499885e+01	7.065697542753038296e-02	1.225387259350319870e-02	nan	1.123276123094987290e-02	nan
9.400000000000000000e+02	2.860554947800532682e+04	nan	2.745744046845264893e+04	nan	4.450166552790184998e-02	nan	2.775482032388437159e-01	nan	6.886532858111557687e+01	nan	1.357525570916561719e+01	nan	4.283999999999821284e-02	5.976956436294552505e-02	2.863600000000000034e-01	5.202382972419355295e-02	7.232828273807500352e+01	7.065697542753038296e-02	1.235135730840514721e-02	nan	1.173574347228580408e-02	nan
9.410000000000000000e+02	2.868651223983227828e+04	nan	2.754265023827775804e+04	nan	4.446323471680705547e-02	nan	2.769838113837875260e-01	nan	6.886841723529931869e+01	nan	1.354851272047903876e+01	nan	4.269999999999640750e-02	5.976956436294552505e-02	2.857500000000000040e-01	5.202382972419355295e-02	7.241071329362500819e+01	7.065697542753038296e-02	1.231559621831315905e-02	nan	1.169672723755802932e-02	nan
9.420000000000000000e+02	2.876771009515925107e+04	nan	2.762814423841046300e+04	nan	4.444581609446034143e-02	nan	2.764193075424530299e-01	nan	6.882157682942958843e+01	nan	1.351182511773856731e+01	nan	4.258000000000095042e-02	5.976956436294552505e-02	2.851400000000000046e-01	5.202382972419355295e-02	7.243832936505000930e+01	7.065697542753038296e-02	1.228568170798994240e-02	nan	1.128395406202306432e-02	nan
9.430000000000000000e+02	2.884910565983106426e+04	nan	2.771676565555762863e+04	nan	4.391586761233178676e-02	nan	2.759319484587094418e-01	nan	6.872306241429947704e+01	nan	1.346490539506771711e+01	nan	4.197000000000628006e-02	5.976956436294552505e-02	2.845400000000000151e-01	5.202382972419355295e-02	7.241113095235000685e+01	7.065697542753038296e-02	1.211779091852544128e-02	nan	1.141079108075170913e-02	nan
9.440000000000000000e+02	2.893162895196603858e+04	nan	2.780440199846525138e+04	nan	4.364707173135770613e-02	nan	2.754719968228097615e-01	nan	6.862239465082099343e+01	nan	1.341791685175428483e+01	nan	4.161000000000569798e-02	5.976956436294552505e-02	2.839300000000000157e-01	5.202382972419355295e-02	7.238393253965000440e+01	7.065697542753038296e-02	1.202354600530551945e-02	nan	1.164707640737785120e-02	nan
9.450000000000000000e+02	2.901479909158697410e+04	nan	2.789026045470123427e+04	nan	4.354608888252050475e-02	nan	2.750212492526681873e-01	nan	6.852200004249833398e+01	nan	1.337144497752126426e+01	nan	4.140999999999905867e-02	5.976956436294552505e-02	2.833300000000000263e-01	5.202382972419355295e-02	7.235673412695000195e+01	7.065697542753038296e-02	1.197609976453851456e-02	nan	1.166313513607916512e-02	nan
9.460000000000000000e+02	2.909829873000523730e+04	nan	2.797600069421081207e+04	nan	4.619663950721442092e-02	nan	2.745602965189808398e-01	nan	6.842335248943608406e+01	nan	1.332581572907656664e+01	nan	4.381999999999663942e-02	5.976956436294552505e-02	2.827200000000000268e-01	5.202382972419355295e-02	7.232953571424999950e+01	7.065697542753038296e-02	1.268376304128125687e-02	nan	1.130550772696663209e-02	nan
9.470000000000000000e+02	2.917713968570153520e+04	nan	2.806445315686445610e+04	nan	4.890660405110038023e-02	nan	2.740988403556343100e-01	nan	6.832489797985414270e+01	nan	1.328065904975915146e+01	nan	4.627999999999587999e-02	5.976956436294552505e-02	2.821100000000000274e-01	5.202382972419355295e-02	7.230233730154999705e+01	7.065697542753038296e-02	1.340524345613878197e-02	nan	1.088500417609343865e-02	nan
9.480000000000000000e+02	2.925173736110160826e+04	nan	2.815632266686393632e+04	nan	4.635898246199181283e-02	nan	2.736368803867079147e-01	nan	6.823097207498116745e+01	nan	1.323681356870247328e+01	nan	4.376999999999497959e-02	5.976956436294552505e-02	2.814999999999999725e-01	5.202382972419355295e-02	7.228174702377499727e+01	7.065697542753038296e-02	1.268552733880154437e-02	nan	1.076664266140313700e-02	nan
9.490000000000000000e+02	2.933056735163272970e+04	nan	2.824920213091310143e+04	nan	4.551480192283544751e-02	nan	2.731841415525748662e-01	nan	6.815641590603809163e+01	nan	1.319721331587834356e+01	nan	4.286999999999352440e-02	5.976956436294552505e-02	2.808999999999999830e-01	5.202382972419355295e-02	7.226776488092500017e+01	7.065697542753038296e-02	1.243392209122528604e-02	nan	1.100635061323215758e-02	nan
9.500000000000000000e+02	2.941099249766977300e+04	nan	2.834005876769857423e+04	nan	4.448785066647215070e-02	nan	2.727309074563914471e-01	nan	6.815917450163948388e+01	nan	1.317320008082208460e+01	nan	4.179999999999495230e-02	5.976956436294552505e-02	2.802999999999999936e-01	5.202382972419355295e-02	7.225378273807500307e+01	7.065697542753038296e-02	1.213321188305137820e-02	nan	1.142384063669702951e-02	nan
9.510000000000000000e+02	2.949341090506582987e+04	nan	2.842759500282318550e+04	nan	4.503768826298992084e-02	nan	2.722674431133047523e-01	nan	6.816192170291823516e+01	nan	1.314956052347611148e+01	nan	4.220999999999719421e-02	5.976956436294552505e-02	2.796899999999999942e-01	5.202382972419355295e-02	7.223980059522500596e+01	7.065697542753038296e-02	1.226229622709836160e-02	nan	1.165628220085864787e-02	nan
9.520000000000000000e+02	2.957496169958913379e+04	nan	2.851338565054157516e+04	nan	4.506501477410514156e-02	nan	2.718132127303151679e-01	nan	6.816422773383801825e+01	nan	1.312620370869558428e+01	nan	4.213000000000022283e-02	5.976956436294552505e-02	2.790900000000000047e-01	5.202382972419355295e-02	7.222581845237500886e+01	7.065697542753038296e-02	1.224926644748863640e-02	nan	1.194131707927742654e-02	nan
