#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
2.000000000000000000e+01	-2.688934160264035000e+01	nan	-6.277000000000000313e+01	nan	5.374512723524369484e-01	nan	9.453416191467363117e-01	nan	2.182402982095315380e+01	nan	2.000000000000000000e+01	nan	4.156685128169703702e-01	2.000000000000000111e-01	9.446762474739492932e-01	3.136290622111421750e-03	2.000000000000000000e+01	2.000000000000000111e-01	7.676299241067063850e-01	nan	inf	nan
2.100000000000000000e+01	-2.558663053237598461e+01	nan	-6.277000000000000313e+01	nan	4.312308918682368764e-01	nan	9.424181689927507710e-01	nan	2.291523131200081309e+01	nan	2.100000000000000000e+01	nan	3.334717314258180965e-01	2.000000000000000111e-01	9.417225101321344827e-01	3.289280408555881295e-03	2.100000000000000000e+01	2.000000000000000111e-01	6.118175800189307179e-01	nan	inf	nan
2.200000000000000000e+01	-2.395215641352334046e+01	nan	-6.277000000000000313e+01	nan	1.970886779518536414e-01	nan	9.394907338639300054e-01	nan	2.400643280304846883e+01	nan	2.200000000000000000e+01	nan	1.523831538989921519e-01	2.000000000000000111e-01	9.387649926733602213e-01	3.442270195000340840e-03	2.200000000000000000e+01	2.000000000000000111e-01	2.764658255845595103e-01	nan	inf	nan
2.300000000000000000e+01	-2.033507282684278294e+01	nan	-6.277000000000000313e+01	nan	2.080129423244961862e-01	nan	9.365473525556674561e-01	nan	2.509763429409612812e+01	nan	2.300000000000000000e+01	nan	1.607689270643569979e-01	2.000000000000000111e-01	9.357917439432497098e-01	3.595259981444800385e-03	2.300000000000000000e+01	2.000000000000000111e-01	2.875482958395891298e-01	nan	inf	nan
2.400000000000000000e+01	-1.685739615663272417e+01	nan	-6.277000000000000313e+01	nan	5.012362106979244558e-01	nan	9.336001487490913631e-01	nan	2.618883578514378740e+01	nan	2.400000000000000000e+01	nan	3.872548867870776457e-01	2.000000000000000111e-01	9.328148790567741822e-01	3.748249767889260363e-03	2.400000000000000000e+01	2.000000000000000111e-01	6.907073075513110449e-01	nan	inf	nan
2.500000000000000000e+01	-1.540960490110773407e+01	nan	-6.277000000000000313e+01	nan	2.567661638196719887e-01	nan	9.306484834374133541e-01	nan	2.728003727619144314e+01	nan	2.500000000000000000e+01	nan	1.983475110130831220e-01	2.000000000000000111e-01	9.298337599496327988e-01	3.901239554333719908e-03	2.500000000000000000e+01	2.000000000000000111e-01	3.485908693753758669e-01	nan	inf	nan
2.600000000000000000e+01	-1.254091243709726200e+01	nan	-6.277000000000000313e+01	nan	2.654701019507112458e-01	nan	9.276947301779151500e-01	nan	2.837123876723910243e+01	nan	2.600000000000000000e+01	nan	2.050098646905090805e-01	2.000000000000000111e-01	9.268507584685936607e-01	4.054229340778179452e-03	2.600000000000000000e+01	2.000000000000000111e-01	3.598541948485386999e-01	nan	inf	nan
2.700000000000000000e+01	-9.762009163728734507e+00	nan	-6.277000000000000313e+01	nan	3.189284828720359566e-01	nan	9.247287801787150707e-01	nan	2.946244025828675817e+01	nan	2.700000000000000000e+01	nan	2.462218843787910560e-01	2.000000000000000111e-01	9.238557755696009677e-01	4.207219127222638563e-03	2.700000000000000000e+01	2.000000000000000111e-01	4.231310572891047728e-01	nan	inf	nan
2.800000000000000000e+01	-7.398675197163505857e+00	nan	-6.277000000000000313e+01	nan	2.431979718375715804e-01	nan	9.217374712897310474e-01	nan	3.055364174933441745e+01	nan	2.800000000000000000e+01	nan	1.877095081523586506e-01	2.000000000000000111e-01	9.208356632251706309e-01	4.360208913667098542e-03	2.800000000000000000e+01	2.000000000000000111e-01	3.193229110888240463e-01	nan	inf	nan
2.900000000000000000e+01	-4.267048980334244845e+00	nan	-6.277000000000000313e+01	nan	2.433199968617299203e-01	nan	9.187387360952591342e-01	nan	3.164484324038207319e+01	nan	2.900000000000000000e+01	nan	1.877423601907444450e-01	2.000000000000000111e-01	9.178083384592429228e-01	4.513198700111558520e-03	2.900000000000000000e+01	2.000000000000000111e-01	3.164714300243470779e-01	nan	inf	nan
3.000000000000000000e+01	-1.107206084174336524e+00	nan	-6.277000000000000313e+01	nan	2.509320347304933030e-01	nan	9.157459354849207811e-01	nan	3.273604473142972893e+01	nan	3.000000000000000000e+01	nan	1.935518815858343622e-01	2.000000000000000111e-01	9.147871489263673661e-01	4.666188486556017631e-03	3.000000000000000000e+01	2.000000000000000111e-01	3.258854683742744007e-01	nan	inf	nan
3.100000000000000000e+01	1.961356638148451736e+00	nan	-6.277000000000000313e+01	nan	1.707776478038473822e-01	nan	9.127530521077028558e-01	nan	3.382724622247739177e+01	nan	3.100000000000000000e+01	nan	1.316840639041622074e-01	2.000000000000000111e-01	9.117660831606794192e-01	4.819178273000477609e-03	3.100000000000000000e+01	2.000000000000000111e-01	2.188526771003665161e-01	nan	inf	nan
3.200000000000000000e+01	6.530640474422462205e+00	nan	-6.277000000000000313e+01	nan	3.965301158419167193e-01	nan	9.097573558918186087e-01	nan	3.491844771352504750e+01	nan	3.200000000000000000e+01	nan	3.056125424266575852e-01	2.000000000000000111e-01	9.087424141340114669e-01	4.972168059444936720e-03	3.200000000000000000e+01	2.000000000000000111e-01	5.064881568547823232e-01	nan	inf	nan
3.300000000000000000e+01	8.505020302392885867e+00	nan	-6.277000000000000313e+01	nan	2.499843326387186926e-01	nan	9.067704235698961224e-01	nan	3.600964920457270324e+01	nan	3.300000000000000000e+01	nan	1.926274665369100969e-01	2.000000000000000111e-01	9.057277055454996395e-01	5.125157845889396699e-03	3.300000000000000000e+01	2.000000000000000111e-01	3.175323399651882594e-01	nan	inf	nan
3.400000000000000000e+01	1.165430582118329284e+01	nan	-6.277000000000000313e+01	nan	2.864509497622887424e-01	nan	9.037518517837520582e-01	nan	3.710085069562036608e+01	nan	3.400000000000000000e+01	nan	2.206544930769591684e-01	2.000000000000000111e-01	9.026816009712802513e-01	5.278147632333855810e-03	3.400000000000000000e+01	2.000000000000000111e-01	3.531795038102086837e-01	nan	inf	nan
